"","html_form","attachments","flash_content","html_iframe","html_content","urls","external_resources","javascript","css","ips_in_urls","at_in_urls","encoding","is_phishy"
"238","False","1","False","False","True","0","0","0","0","False","False","none","True"
"239","False","0","False","False","True","9","0","0","0","False","False","none","True"
"240","False","0","False","False","True","1","0","0","0","False","False","other","True"
"241","False","0","False","False","True","1","0","0","0","False","False","none","True"
"242","False","0","False","False","True","8","0","0","0","True","False","none","True"
"243","False","0","False","False","True","0","0","0","0","False","False","other","True"
"244","False","0","False","False","False","0","0","0","0","False","False","none","True"
"245","False","0","False","False","False","0","0","0","0","False","False","none","True"
"246","False","0","False","False","True","0","0","0","0","False","False","none","True"
"247","False","0","False","False","False","0","0","0","0","False","False","none","True"
"248","False","0","False","False","True","2","0","0","0","False","False","none","True"
"249","False","0","False","False","True","0","1","0","1","False","False","base64","True"
"250","False","0","False","False","True","0","1","0","1","False","False","base64","True"
"251","False","0","False","False","True","0","0","0","0","False","False","none","True"
"252","False","0","False","False","True","0","0","0","0","False","False","none","True"
"253","False","0","False","False","True","8","0","0","0","True","False","none","True"
"254","False","0","False","False","True","8","0","0","0","True","False","none","True"
"255","False","0","False","False","True","8","0","0","0","True","False","none","True"
"256","False","0","False","False","False","6","0","0","0","False","False","8bit","True"
"257","False","0","False","False","True","7","1","0","1","False","False","8bit","True"
"258","False","0","False","False","True","14","0","0","0","False","False","other","True"
"259","False","0","False","False","True","10","0","0","0","False","False","other","True"
"260","False","0","False","False","True","8","0","0","0","True","False","none","True"
"261","False","0","False","False","True","7","1","0","1","False","False","8bit","True"
"262","False","0","False","False","False","7","0","1","0","False","False","8bit","True"
"263","False","0","False","False","True","13","0","0","0","False","False","none","True"
"264","False","0","False","False","True","13","0","0","0","False","False","none","True"
"265","False","0","False","False","True","11","0","0","0","False","False","none","True"
"266","False","0","False","False","True","4","0","0","0","False","False","none","True"
"267","False","0","False","False","False","12","0","0","0","True","False","none","True"
"268","False","0","False","False","True","5","2","0","2","False","False","7bit","True"
"269","False","0","False","False","True","0","0","0","0","False","False","none","True"
"270","False","0","False","False","True","0","0","0","0","False","False","none","True"
"271","False","0","False","False","True","0","0","0","0","False","False","none","True"
"272","False","0","False","False","True","0","0","0","0","False","False","none","True"
"273","False","0","False","False","True","16","0","0","0","False","False","none","True"
"274","False","0","False","False","True","16","0","0","0","False","False","none","True"
"275","False","0","False","False","True","16","0","0","0","False","False","none","True"
"276","False","0","False","False","True","16","0","0","0","False","False","none","True"
"277","False","0","False","False","True","16","0","0","0","False","False","none","True"
"278","False","0","False","False","False","12","0","0","0","False","False","none","True"
"279","False","0","False","False","True","8","1","0","1","False","False","other","True"
"280","False","0","False","False","True","4","0","0","0","False","False","none","True"
"281","False","0","False","False","True","4","0","0","0","False","False","none","True"
"282","False","0","False","False","True","4","0","0","0","False","False","none","True"
"283","False","0","False","False","True","4","0","0","0","False","False","none","True"
"284","False","0","False","False","True","13","0","0","0","True","False","none","True"
"285","False","0","False","False","True","14","3","0","3","False","False","7bit","True"
"286","False","0","False","False","True","5","1","0","1","False","False","none","True"
